date,total_transactions,missing_percent,anomaly_count,drift_score,alert
2023-08-23 00:00:00,135,1.14,1,191.4,Drift Detected
2023-08-24 00:00:00,148,0.31,2,9.82,Healthy
2023-08-25 00:00:00,132,0,1,18.06,Healthy
2023-08-26 00:00:00,128,1.06,4,20.55,Healthy
2023-08-27 00:00:00,127,0.72,4,13.21,Healthy
2023-08-28 00:00:00,121,2.84,1,3.58,Healthy
2023-08-29 00:00:00,139,0.48,3,21.21,Healthy
2023-08-30 00:00:00,125,1.09,0,27.39,Healthy
2023-08-31 00:00:00,124,1.46,1,20.77,Healthy
2023-09-01 00:00:00,129,1.66,1,18.69,Healthy
2023-09-02 00:00:00,96,0.32,0,20.5,Healthy
2023-09-03 00:00:00,109,0.88,2,16.74,Healthy
2023-09-04 00:00:00,120,1.69,0,28.17,Healthy
2023-09-05 00:00:00,138,0.48,0,32.91,Healthy
2023-09-06 00:00:00,126,0.91,0,14.95,Healthy
2023-09-07 00:00:00,126,0.47,1,19.68,Healthy
2023-09-08 00:00:00,139,0.61,3,20.95,Healthy
2023-09-09 00:00:00,117,0,4,25.9,Healthy
2023-09-10 00:00:00,102,0.7,0,12.67,Healthy
2023-09-11 00:00:00,132,1.5,1,13.08,Healthy
2023-09-12 00:00:00,127,0.1,14,18.13,Anomaly Detected
2023-09-13 00:00:00,129,0.55,3,39.05,Healthy
2023-09-14 00:00:00,114,0.91,1,26.77,Healthy
2023-09-15 00:00:00,126,0.5,5,29.33,Healthy
2023-09-16 00:00:00,126,4.59,0,21.82,Healthy
2023-09-17 00:00:00,87,1.21,2,14.15,Healthy
2023-09-18 00:00:00,143,0,1,18.36,Healthy
2023-09-19 00:00:00,153,0.71,0,157.48,Drift Detected
2023-09-20 00:00:00,126,1.52,1,11.07,Healthy
2023-09-21 00:00:00,126,1.25,0,167.47,Drift Detected
2023-09-22 00:00:00,135,0.75,3,21.04,Healthy
2023-09-23 00:00:00,123,0.52,0,47.93,Healthy
2023-09-24 00:00:00,100,0.54,0,28.41,Healthy
2023-09-25 00:00:00,161,0,3,42.11,Healthy
2023-09-26 00:00:00,121,1.19,0,25.98,Healthy
2023-09-27 00:00:00,117,0.08,4,29.71,Healthy
2023-09-28 00:00:00,127,1.3,4,18.65,Healthy
2023-09-29 00:00:00,118,0.64,2,5.52,Healthy
2023-09-30 00:00:00,105,0.76,2,131.85,Drift Detected
2023-10-01 00:00:00,121,1.03,4,32.97,Healthy
2023-10-02 00:00:00,120,0.87,0,4.42,Healthy
2023-10-03 00:00:00,112,1.55,1,25.99,Healthy
2023-10-04 00:00:00,135,0.61,3,21.37,Healthy
2023-10-05 00:00:00,153,0.67,0,27.14,Healthy
2023-10-06 00:00:00,124,1.05,3,48.45,Healthy
2023-10-07 00:00:00,127,0.95,2,15.33,Healthy
2023-10-08 00:00:00,99,0.5,2,26.21,Healthy
2023-10-09 00:00:00,111,0.59,3,21.58,Healthy
2023-10-10 00:00:00,116,0.5,2,50.52,Healthy
2023-10-11 00:00:00,118,0.73,0,9.57,Healthy
2023-10-12 00:00:00,123,3.36,0,0.64,Healthy
2023-10-13 00:00:00,127,0.7,2,26.26,Healthy
2023-10-14 00:00:00,133,0.63,2,8.36,Healthy
2023-10-15 00:00:00,108,0.7,2,0,Healthy
2023-10-16 00:00:00,125,3.44,2,23.34,Healthy
2023-10-17 00:00:00,115,0.41,3,15.44,Healthy
2023-10-18 00:00:00,132,1.12,2,0,Healthy
2023-10-19 00:00:00,127,0.32,1,37.35,Healthy
2023-10-20 00:00:00,126,1.24,2,0.81,Healthy
2023-10-21 00:00:00,107,1.1,11,39.68,Anomaly Detected
2023-10-22 00:00:00,112,0.71,2,22.48,Healthy
2023-10-23 00:00:00,145,0.36,4,20.98,Healthy
2023-10-24 00:00:00,117,0.64,2,54.75,Healthy
2023-10-25 00:00:00,107,0,1,23.51,Healthy
2023-10-26 00:00:00,130,0.67,1,17.24,Healthy
2023-10-27 00:00:00,131,1.81,0,199.43,Drift Detected
2023-10-28 00:00:00,108,0.85,1,38.1,Healthy
2023-10-29 00:00:00,84,1.3,0,20.41,Healthy
2023-10-30 00:00:00,130,1.27,3,18.07,Healthy
2023-10-31 00:00:00,127,0.4,4,172.13,Drift Detected
2023-11-01 00:00:00,130,0.1,2,33.36,Healthy
2023-11-02 00:00:00,117,2.14,1,25.82,Healthy
2023-11-03 00:00:00,157,0.44,1,18.68,Healthy
2023-11-04 00:00:00,126,1.22,11,46.65,Anomaly Detected
2023-11-05 00:00:00,109,2.91,0,0,Healthy
2023-11-06 00:00:00,148,0.81,1,0,Healthy
2023-11-07 00:00:00,131,3.59,0,42.19,Healthy
2023-11-08 00:00:00,115,3.18,3,1.44,Healthy
2023-11-09 00:00:00,154,0.49,0,28.58,Healthy
2023-11-10 00:00:00,113,1.25,3,19.3,Healthy
2023-11-11 00:00:00,117,3.27,1,29.41,Healthy
2023-11-12 00:00:00,97,1.0,13,1.88,Anomaly Detected
2023-11-13 00:00:00,119,3.53,1,4.3,Healthy
2023-11-14 00:00:00,132,1.41,1,32.99,Healthy
2023-11-15 00:00:00,136,1.15,0,47.77,Healthy
2023-11-16 00:00:00,115,0.82,3,22.6,Healthy
2023-11-17 00:00:00,114,1.48,2,3.82,Healthy
2023-11-18 00:00:00,106,1.45,2,34.68,Healthy
2023-11-19 00:00:00,110,0.1,1,32.09,Healthy
2023-11-20 00:00:00,113,1.67,3,241.35,Drift Detected
2023-11-21 00:00:00,150,1.02,4,36.37,Healthy
2023-11-22 00:00:00,114,1.07,2,9.94,Healthy
2023-11-23 00:00:00,137,0.26,0,31.95,Healthy
2023-11-24 00:00:00,122,4.92,2,4.63,Healthy
2023-11-25 00:00:00,118,1.04,0,10.28,Healthy
2023-11-26 00:00:00,92,0,2,25.94,Healthy
2023-11-27 00:00:00,131,0.16,0,33.1,Healthy
2023-11-28 00:00:00,129,0.53,1,52.23,Healthy
2023-11-29 00:00:00,141,0.09,2,5.4,Healthy
2023-11-30 00:00:00,147,1.26,8,42.42,Anomaly Detected
2023-12-01 00:00:00,150,1.54,5,31.6,Healthy
2023-12-02 00:00:00,128,0.86,3,18.9,Healthy
2023-12-03 00:00:00,116,1.02,3,28.41,Healthy
2023-12-04 00:00:00,154,1.01,2,14.88,Healthy
2023-12-05 00:00:00,147,1.2,0,7.75,Healthy
2023-12-06 00:00:00,125,1.19,0,16.32,Healthy
2023-12-07 00:00:00,151,0.97,2,16.17,Healthy
2023-12-08 00:00:00,122,1.12,3,14.99,Healthy
2023-12-09 00:00:00,99,0.25,1,17.57,Healthy
2023-12-10 00:00:00,116,1.07,2,5.65,Healthy
2023-12-11 00:00:00,135,0,3,45.24,Healthy
2023-12-12 00:00:00,139,0.7,3,20.88,Healthy
2023-12-13 00:00:00,115,0.99,2,4.55,Healthy
2023-12-14 00:00:00,152,4.3,2,21.58,Healthy
2023-12-15 00:00:00,135,0.38,0,43.0,Healthy
2023-12-16 00:00:00,136,0.77,0,15.17,Healthy
2023-12-17 00:00:00,110,0.58,2,26.72,Healthy
2023-12-18 00:00:00,132,1.41,1,32.71,Healthy
2023-12-19 00:00:00,153,0.73,2,0,Healthy
2023-12-20 00:00:00,139,0.61,1,0,Healthy
2023-12-21 00:00:00,129,0.28,0,29.88,Healthy
2023-12-22 00:00:00,139,0.65,3,16.77,Healthy
2023-12-23 00:00:00,115,0.83,1,6.61,Healthy
2023-12-24 00:00:00,112,0.94,1,26.13,Healthy
2023-12-25 00:00:00,140,0.4,0,23.18,Healthy
2023-12-26 00:00:00,140,0.87,4,41.45,Healthy
2023-12-27 00:00:00,165,0.81,3,36.95,Healthy
2023-12-28 00:00:00,144,0.64,0,43.84,Healthy
2023-12-29 00:00:00,127,1.06,0,187.51,Drift Detected
2023-12-30 00:00:00,99,0.91,19,227.65,Anomaly + Drift
2023-12-31 00:00:00,110,0.27,2,15.87,Healthy
2024-01-01 00:00:00,136,1.27,0,5.65,Healthy
2024-01-02 00:00:00,125,0.53,2,44.63,Healthy
2024-01-03 00:00:00,130,0.44,2,27.53,Healthy
2024-01-04 00:00:00,132,1.23,1,13.66,Healthy
2024-01-05 00:00:00,138,0.4,18,152.68,Anomaly + Drift
2024-01-06 00:00:00,136,0.99,0,23.12,Healthy
2024-01-07 00:00:00,137,4.72,13,40.78,Anomaly Detected
2024-01-08 00:00:00,158,0.45,0,27.21,Healthy
2024-01-09 00:00:00,140,0.97,2,10.59,Healthy
2024-01-10 00:00:00,130,0.74,1,19.93,Healthy
2024-01-11 00:00:00,150,1.06,4,4.35,Healthy
2024-01-12 00:00:00,123,1.51,2,27.56,Healthy
2024-01-13 00:00:00,122,0.14,2,21.59,Healthy
2024-01-14 00:00:00,114,0.71,1,26.6,Healthy
2024-01-15 00:00:00,121,1.41,3,22.46,Healthy
2024-01-16 00:00:00,137,0.77,2,35.66,Healthy
2024-01-17 00:00:00,146,0.15,2,36.6,Healthy
2024-01-18 00:00:00,149,0.88,8,38.54,Anomaly Detected
2024-01-19 00:00:00,135,0.99,0,11.89,Healthy
2024-01-20 00:00:00,111,1.01,1,27.59,Healthy
2024-01-21 00:00:00,94,0.79,5,17.95,Healthy
2024-01-22 00:00:00,130,0.89,1,21.42,Healthy
2024-01-23 00:00:00,131,0.63,0,13.11,Healthy
2024-01-24 00:00:00,149,1.81,3,22.58,Healthy
2024-01-25 00:00:00,127,1.59,4,22.19,Healthy
2024-01-26 00:00:00,139,0.57,1,22.25,Healthy
2024-01-27 00:00:00,119,0.59,0,19.31,Healthy
2024-01-28 00:00:00,125,0.77,2,17.0,Healthy
2024-01-29 00:00:00,112,1.31,0,45.08,Healthy
2024-01-30 00:00:00,139,0.36,2,45.29,Healthy
2024-01-31 00:00:00,144,1.05,0,13.9,Healthy
2024-02-01 00:00:00,142,1.17,0,0,Healthy
2024-02-02 00:00:00,167,1.04,2,35.13,Healthy
2024-02-03 00:00:00,121,0.45,14,106.31,Anomaly + Drift
2024-02-04 00:00:00,120,0.93,2,26.53,Healthy
2024-02-05 00:00:00,157,0.99,1,64.72,Healthy
2024-02-06 00:00:00,164,0.25,0,24.59,Healthy
2024-02-07 00:00:00,139,1.88,3,8.25,Healthy
2024-02-08 00:00:00,145,0.14,4,33.49,Healthy
2024-02-09 00:00:00,158,0.45,0,33.72,Healthy
2024-02-10 00:00:00,131,0.24,0,19.32,Healthy
2024-02-11 00:00:00,124,0.67,0,10.7,Healthy
2024-02-12 00:00:00,141,1.47,20,248.65,Anomaly + Drift
2024-02-13 00:00:00,125,0.64,3,34.05,Healthy
2024-02-14 00:00:00,156,4.99,0,25.85,Healthy
2024-02-15 00:00:00,134,0.98,1,11.98,Healthy
2024-02-16 00:00:00,120,4.25,0,14.99,Healthy
2024-02-17 00:00:00,150,0.72,1,22.37,Healthy
2024-02-18 00:00:00,128,4.79,3,15.53,Healthy
2024-02-19 00:00:00,119,0.75,2,26.13,Healthy
2024-02-20 00:00:00,122,1.27,1,31.55,Healthy
2024-02-21 00:00:00,151,1.47,5,16.87,Healthy
2024-02-22 00:00:00,139,0.4,0,14.63,Healthy
2024-02-23 00:00:00,141,0.7,1,35.24,Healthy
2024-02-24 00:00:00,121,0.93,1,31.69,Healthy
2024-02-25 00:00:00,123,1.05,1,30.44,Healthy
2024-02-26 00:00:00,144,1.47,3,11.62,Healthy
2024-02-27 00:00:00,148,1.15,2,167.98,Drift Detected
2024-02-28 00:00:00,142,0,0,34.15,Healthy
2024-02-29 00:00:00,121,0.93,2,26.67,Healthy
2024-03-01 00:00:00,146,1.22,2,33.91,Healthy
2024-03-02 00:00:00,104,0.49,0,287.63,Drift Detected
2024-03-03 00:00:00,120,1.02,1,29.97,Healthy
2024-03-04 00:00:00,166,0.75,0,39.35,Healthy
2024-03-05 00:00:00,153,1.07,3,12.05,Healthy
2024-03-06 00:00:00,135,1.1,2,28.68,Healthy
2024-03-07 00:00:00,140,0.07,2,33.6,Healthy
2024-03-08 00:00:00,172,0.43,2,21.42,Healthy
2024-03-09 00:00:00,133,0.7,1,40.37,Healthy
2024-03-10 00:00:00,126,1.3,0,32.65,Healthy
2024-03-11 00:00:00,139,0.6,2,0,Healthy
2024-03-12 00:00:00,148,0.49,0,40.81,Healthy
2024-03-13 00:00:00,179,0.89,1,0,Healthy
2024-03-14 00:00:00,165,0.99,0,34.66,Healthy
2024-03-15 00:00:00,154,0.61,3,26.45,Healthy
2024-03-16 00:00:00,112,0.35,2,23.75,Healthy
2024-03-17 00:00:00,100,0.59,1,13.99,Healthy
2024-03-18 00:00:00,159,0.12,12,23.74,Anomaly Detected
2024-03-19 00:00:00,144,0.34,1,17.86,Healthy
2024-03-20 00:00:00,147,1.28,0,46.98,Healthy
2024-03-21 00:00:00,136,0,1,0,Healthy
2024-03-22 00:00:00,146,0.12,3,14.59,Healthy
2024-03-23 00:00:00,117,4.48,19,226.21,Anomaly + Drift
2024-03-24 00:00:00,131,0.72,2,12.94,Healthy
2024-03-25 00:00:00,165,0.42,0,21.36,Healthy
2024-03-26 00:00:00,160,0.89,3,8.47,Healthy
2024-03-27 00:00:00,162,1.71,1,35.51,Healthy
2024-03-28 00:00:00,121,0.23,1,12.04,Healthy
2024-03-29 00:00:00,169,0.91,10,218.81,Anomaly + Drift
2024-03-30 00:00:00,128,1.5,1,15.8,Healthy
2024-03-31 00:00:00,136,0.39,0,1.42,Healthy
2024-04-01 00:00:00,149,0.29,3,25.96,Healthy
2024-04-02 00:00:00,153,0.17,0,31.2,Healthy
2024-04-03 00:00:00,144,0.9,0,5.35,Healthy
2024-04-04 00:00:00,140,0.67,0,9.9,Healthy
