date,transaction_id,amount,account_age,status
2025-11-12,TXN-10121,2110.53,2332,failed
2025-07-27,TXN-10122,1178.23,1176,pending
2025-08-09,TXN-10123,1193.24,3219,failed
2025-08-27,TXN-10124,78.95,2094,reversed
2025-03-28,TXN-10125,1629.37,2699,completed
2025-05-26,TXN-10126,72.7,1373,completed
2025-05-01,TXN-10127,1090.21,2756,failed
2025-04-26,TXN-10128,1357.18,190,pending
2025-09-01,TXN-10129,776.51,2504,completed
2025-08-22,TXN-10130,231.32,797,reversed
2025-09-11,TXN-10131,1777.48,1637,pending
2025-03-17,TXN-10132,1153.05,3076,completed
2025-08-06,TXN-10133,1129.91,897,pending
2025-12-23,TXN-10134,944.83,1021,completed
2025-08-22,TXN-10135,1171.09,547,reversed
2025-12-08,TXN-10136,195.93,1300,reversed
2025-11-10,TXN-10137,1001.05,3339,reversed
2025-10-08,TXN-10138,755.89,3529,reversed
2025-08-19,TXN-10139,1357.02,1062,pending
2025-11-23,TXN-10140,963.1,1985,pending
2025-05-21,TXN-10141,2566.93,1802,completed
2025-05-27,TXN-10142,1270.4,2213,completed
2025-03-12,TXN-10143,1920.33,618,pending
2025-07-16,TXN-10144,767.96,264,reversed
2025-07-28,TXN-10145,24.37,1356,reversed
2025-08-01,TXN-10146,2598.95,1596,completed
2025-10-22,TXN-10147,1777.05,1559,reversed
2025-01-04,TXN-10148,1830.67,1598,reversed
2025-10-03,TXN-10149,962.79,3062,pending
2025-09-07,TXN-10150,1363.45,119,reversed
2025-06-22,TXN-10151,2040.22,2740,reversed
2025-03-26,TXN-10152,2167.16,2549,completed
2025-07-21,TXN-10153,-313.35,2425,completed
2025-02-12,TXN-10154,930.39,1892,pending
2025-01-26,TXN-10155,862.39,1066,reversed
2025-06-17,TXN-10156,1369.81,3118,reversed
2025-05-23,TXN-10157,1891.21,3081,reversed
2025-05-10,TXN-10158,1658.66,3069,completed
2025-06-29,TXN-10159,423.46,919,completed
2025-11-30,TXN-10160,1394.48,1013,pending
2025-01-11,TXN-10161,1250.27,2545,pending
2025-05-03,TXN-10162,2035.24,2311,pending
2025-08-27,TXN-10163,2048.15,2866,failed
2025-07-08,TXN-10164,1740.17,3064,completed
2025-03-25,TXN-10165,2151.04,1275,completed
2025-10-24,TXN-10166,1882.82,2775,reversed
2025-07-23,TXN-10167,1311.13,2929,pending
2025-02-08,TXN-10168,-62.03,995,completed
2025-12-23,TXN-10169,375.56,3165,failed
2025-12-17,TXN-10170,871.83,2319,completed
2025-06-27,TXN-10171,960.27,2183,reversed
2025-12-05,TXN-10172,547.17,1398,completed
2025-08-04,TXN-10173,1890.21,3369,reversed
2025-02-24,TXN-10174,506.52,3395,reversed
2025-12-29,TXN-10175,1507.76,627,reversed
2025-04-01,TXN-10176,989.02,1107,reversed
2025-08-27,TXN-10177,-864.95,1785,failed
2025-06-15,TXN-10178,2099.37,355,failed
2025-08-19,TXN-10179,-10.27,999,reversed
2025-10-19,TXN-10180,599.35,118,reversed
2025-06-16,TXN-10181,700.98,745,reversed
2025-04-19,TXN-10182,821.44,1146,failed
2025-10-12,TXN-10183,1689.14,42,pending
2025-02-13,TXN-10184,1244.36,2275,pending
2025-12-20,TXN-10185,2015.89,1951,reversed
2025-08-18,TXN-10186,1294.23,908,reversed
2025-12-21,TXN-10187,859.21,997,failed
2025-12-06,TXN-10188,410.51,2175,failed
2025-08-06,TXN-10189,755.87,3056,failed
2025-06-30,TXN-10190,1014.36,1030,pending
2025-03-03,TXN-10191,591.74,2955,pending
2025-06-11,TXN-10192,1924.46,3122,pending
2025-04-09,TXN-10193,1876.51,887,reversed
2025-05-22,TXN-10194,851.38,2149,failed
2025-02-21,TXN-10195,-964.55,3411,pending
2025-06-01,TXN-10196,1270.95,58,pending
2025-05-21,TXN-10197,1698.11,187,completed
2025-10-11,TXN-10198,697.24,2613,reversed
2025-02-22,TXN-10199,3054.39,3575,completed
2025-10-21,TXN-10200,1004.5,1396,pending
2025-01-27,TXN-10201,2091.99,1035,reversed
2025-02-28,TXN-10202,1554.39,304,completed
2025-03-19,TXN-10203,472.15,612,failed
2025-02-13,TXN-10204,1601.42,3132,reversed
2025-11-07,TXN-10205,1184.65,2442,pending
2025-09-25,TXN-10206,-78.24,1218,reversed
2025-06-06,TXN-10207,2394.65,2330,completed
2025-11-09,TXN-10208,1554.32,3125,pending
2025-11-17,TXN-10209,1109.28,865,failed
2025-12-05,TXN-10210,1717.06,2261,completed
2025-03-22,TXN-10211,1489.3,11,reversed
2025-08-19,TXN-10212,864.88,134,pending
2025-05-28,TXN-10213,363.26,2896,failed
2025-12-26,TXN-10214,1395.38,957,failed
2025-11-17,TXN-10215,962.64,2416,pending
2025-08-06,TXN-10216,1628.78,611,failed
2025-03-14,TXN-10217,1576.95,293,completed
2025-03-26,TXN-10218,1484.68,3377,failed
2025-08-13,TXN-10219,162.67,510,reversed
2025-12-19,TXN-10220,929.34,1116,reversed
2025-08-13,TXN-10221,1965.48,330,completed
2025-08-10,TXN-10222,1094.39,106,completed
2025-04-28,TXN-10223,116.65,2762,completed
2025-12-11,TXN-10224,1654.81,3126,pending
2025-08-29,TXN-10225,255.46,2126,reversed
2025-05-23,TXN-10226,1642.95,2601,reversed
2025-02-16,TXN-10227,2164.65,1926,failed
2025-07-29,TXN-10228,604.43,3514,pending
2025-06-18,TXN-10229,2231.94,1687,reversed
2025-05-28,TXN-10230,777.55,3116,completed
2025-08-21,TXN-10231,509.81,361,failed
2025-05-10,TXN-10232,257.88,1656,completed
2025-12-03,TXN-10233,3099.66,3561,reversed
2025-07-31,TXN-10234,2111.57,2551,reversed
2025-11-17,TXN-10235,1523.05,1811,completed
2025-04-15,TXN-10236,1154.65,1180,reversed
2025-12-24,TXN-10237,1621.53,1986,completed
2025-01-15,TXN-10238,2280.59,981,pending
2025-06-09,TXN-10239,1015.93,2257,completed
2025-10-10,TXN-10240,721.99,3447,completed
2025-08-25,TXN-10241,1511.89,482,pending
2025-09-13,TXN-10242,1806.02,2890,failed
2025-08-01,TXN-10243,927.07,3420,reversed
2025-08-30,TXN-10244,1239.88,1572,pending
2025-11-03,TXN-10245,2211.98,2082,pending
2025-02-05,TXN-10246,967.96,1700,failed
2025-09-17,TXN-10247,2594.21,1095,completed
2025-05-25,TXN-10248,971.39,2376,reversed
2025-03-18,TXN-10249,-307.78,1830,reversed
2025-06-26,TXN-10250,527.98,1546,reversed
2025-06-14,TXN-10251,2379.2,3562,pending
2025-12-24,TXN-10252,1255.25,3507,reversed
2025-01-23,TXN-10253,1984.21,1304,reversed
2025-12-28,TXN-10254,1870.73,2719,pending
2025-09-11,TXN-10255,794.35,152,pending
2025-09-15,TXN-10256,1901.67,412,reversed
2025-02-21,TXN-10257,1044.79,2155,reversed
2025-01-08,TXN-10258,1058.43,2682,pending
2025-02-08,TXN-10259,390.51,1924,failed
2025-06-23,TXN-10260,624.38,329,failed
2025-12-12,TXN-10261,636.83,3520,reversed
2025-06-12,TXN-10262,31.1,1999,completed
2025-11-13,TXN-10263,4.37,281,pending
2025-11-20,TXN-10264,936.19,932,completed
2025-08-11,TXN-10265,596.62,404,completed
2025-08-16,TXN-10266,1538.59,119,completed
2025-06-16,TXN-10267,1783.89,3262,completed
2025-05-31,TXN-10268,665.07,1001,reversed
2025-10-17,TXN-10269,1859.48,2793,pending
2025-03-29,TXN-10270,1697.64,1567,pending
2025-09-12,TXN-10271,2177.73,2389,pending
2025-04-29,TXN-10272,605.75,1046,completed
2025-08-27,TXN-10273,1348.01,1179,pending
2025-02-07,TXN-10274,512.14,2407,failed
2025-11-24,TXN-10275,1463.73,1738,failed
2025-08-22,TXN-10276,1500.58,1576,reversed
2025-02-24,TXN-10277,759.52,972,reversed
2025-10-20,TXN-10278,776.26,2865,failed
2025-01-12,TXN-10279,1719.09,3400,reversed
2025-05-21,TXN-10280,2799.12,3188,completed
2025-11-07,TXN-10281,1281.44,3053,reversed
2025-05-27,TXN-10282,1293.17,3285,failed
2025-04-23,TXN-10283,628.98,2608,pending
2025-11-14,TXN-10284,1194.71,3144,pending
2025-11-18,TXN-10285,2542.87,398,completed
2025-06-08,TXN-10286,1250.07,1495,pending
2025-02-16,TXN-10287,997.69,1209,failed
2025-08-01,TXN-10288,1391.85,2210,failed
2025-09-29,TXN-10289,1580.3,2056,failed
2025-03-26,TXN-10290,1134.64,1974,failed
2025-06-23,TXN-10291,2691.46,3295,completed
2025-08-28,TXN-10292,1628.74,925,reversed
2025-10-13,TXN-10293,1098.19,1499,completed
2025-07-22,TXN-10294,2188.4,1863,failed
2025-12-11,TXN-10295,1286.66,3068,failed
2025-10-27,TXN-10296,363.01,1522,completed
2025-12-12,TXN-10297,1975.9,958,reversed
2025-01-13,TXN-10298,-200.35,1344,pending
2025-11-28,TXN-10299,-107.53,259,reversed
2025-12-25,TXN-10300,936.04,573,completed
2025-01-20,TXN-10301,1975.89,1247,reversed
2025-03-01,TXN-10302,2569.37,556,reversed
2025-08-21,TXN-10303,2158.46,1520,reversed
2025-10-28,TXN-10304,1177.49,1700,completed
2025-09-08,TXN-10305,737.02,2522,reversed
2025-05-24,TXN-10306,1953.52,1817,reversed
2025-05-01,TXN-10307,1357.12,3504,failed
2025-02-20,TXN-10308,1960.02,2642,failed
2025-02-01,TXN-10309,1108.49,1631,failed
2025-04-08,TXN-10310,3112.97,3376,reversed
2025-02-16,TXN-10311,812.7,2715,pending
2025-11-25,TXN-10312,-162.79,208,failed
2025-05-05,TXN-10313,-436.68,516,pending
2025-02-05,TXN-10314,1688.88,2402,pending
2025-04-30,TXN-10315,308.31,1346,pending
2025-11-02,TXN-10316,2781.56,593,pending
2025-10-04,TXN-10317,1228.18,1027,pending
2025-02-26,TXN-10318,1103.06,61,failed
2025-05-02,TXN-10319,1044.97,2412,failed
2025-01-09,TXN-10320,1320.27,3039,reversed
2025-09-27,TXN-10321,1433.3,466,completed
2025-09-01,TXN-10322,481.2,2432,completed
2025-08-20,TXN-10323,1442.2,2064,pending
2025-11-11,TXN-10324,2547.32,3552,failed
2025-08-23,TXN-10325,1576.47,2636,completed
2025-02-01,TXN-10326,2750.9,1747,completed
2025-09-09,TXN-10327,1186.23,2918,reversed
2025-02-07,TXN-10328,1768.79,608,completed
2025-03-06,TXN-10329,782.73,1127,failed
2025-07-15,TXN-10330,2183.28,1859,reversed
2025-02-20,TXN-10331,1166.8,3249,completed
2025-12-02,TXN-10332,401.45,2953,pending
2025-08-09,TXN-10333,87.46,1850,pending
2025-07-31,TXN-10334,733.77,1704,completed
2025-06-10,TXN-10335,1945.68,1749,failed
2025-12-07,TXN-10336,1139.1,2814,reversed
2025-02-04,TXN-10337,3181.48,374,completed
2025-02-17,TXN-10338,-2.52,1527,pending
2025-10-12,TXN-10339,1748.64,246,failed
2025-12-10,TXN-10340,1737.56,2726,reversed
2025-01-27,TXN-10341,1719.17,1179,failed
2025-06-30,TXN-10342,1957.35,634,reversed
2025-04-25,TXN-10343,1776.86,3471,completed
2025-06-29,TXN-10344,1631.93,3124,failed
2025-10-21,TXN-10345,567.63,927,reversed
2025-10-15,TXN-10346,2658.91,2514,completed
2025-11-08,TXN-10347,964.67,2695,failed
2025-01-15,TXN-10348,1727.59,1266,failed
2025-06-29,TXN-10349,2328.85,26,pending
2025-03-15,TXN-10350,459.64,582,completed
2025-02-16,TXN-10351,872.29,3057,pending
2025-07-12,TXN-10352,560.25,1516,failed
2025-06-16,TXN-10353,1552.58,3182,completed
2025-01-27,TXN-10354,1949.52,204,completed
2025-05-20,TXN-10355,2311.57,1815,reversed
2025-09-06,TXN-10356,552.95,883,completed
2025-06-26,TXN-10357,684.44,1761,completed
2025-05-26,TXN-10358,732.35,2159,failed
2025-01-24,TXN-10359,234.41,904,reversed
2025-11-03,TXN-10360,1709.3,866,pending
2025-05-11,TXN-10361,1382.57,1186,failed
2025-03-03,TXN-10362,2524.81,720,pending
2025-07-14,TXN-10363,1264.39,2182,pending
2025-09-14,TXN-10364,91.88,1451,completed
2025-07-23,TXN-10365,771.51,3530,completed
2025-08-12,TXN-10366,2990.75,3532,failed
2025-10-22,TXN-10367,1411.85,1759,reversed
2025-12-30,TXN-10368,778.83,1660,completed
2025-06-16,TXN-10369,689.97,704,reversed
2025-12-20,TXN-10370,1500.9,3460,completed
2025-05-05,TXN-10371,1034.01,1785,reversed
2025-09-26,TXN-10372,2624.09,3055,failed
2025-04-24,TXN-10373,1967.21,1365,pending
2025-02-09,TXN-10374,807.19,2089,pending
2025-06-28,TXN-10375,1174.09,1439,pending
2025-05-01,TXN-10376,1691.25,711,pending
2025-12-02,TXN-10377,1570.31,309,pending
2025-11-18,TXN-10378,-139.76,3113,reversed
2025-12-15,TXN-10379,1249.55,3613,failed
2025-11-18,TXN-10380,852.34,1921,reversed
2025-11-20,TXN-10381,1987.88,1241,failed
2025-10-30,TXN-10382,2093.24,1272,reversed
2025-08-20,TXN-10383,1529.04,155,completed
2025-07-08,TXN-10384,1356.98,3540,completed
2025-11-11,TXN-10385,921.53,2434,reversed
2025-08-25,TXN-10386,-539.14,3027,completed
2025-08-19,TXN-10387,239.21,3318,pending
2025-06-14,TXN-10388,454.28,254,reversed
2025-02-22,TXN-10389,621.52,3322,failed
2025-02-13,TXN-10390,707.8,1015,reversed
2025-08-13,TXN-10391,1185.93,2147,pending
2025-07-06,TXN-10392,744.94,1675,failed
2025-12-14,TXN-10393,1667.51,2449,completed
2025-11-20,TXN-10394,1022.33,388,reversed
2025-05-26,TXN-10395,963.97,1033,pending
2025-06-20,TXN-10396,2229.42,1433,failed
2025-12-02,TXN-10397,1778.65,2861,reversed
2025-03-08,TXN-10398,-360.09,1269,reversed
2025-11-26,TXN-10399,139.17,3243,failed
2025-03-07,TXN-10400,476.68,3027,completed
2025-11-27,TXN-10401,-117.99,2747,reversed
2025-09-18,TXN-10402,709.35,739,pending
2025-06-24,TXN-10403,1779.41,3139,reversed
2025-04-09,TXN-10404,1263.92,317,failed
2025-02-21,TXN-10405,1630.52,2080,completed
2025-12-05,TXN-10406,492.64,537,reversed
2025-03-20,TXN-10407,2366.38,665,pending
2025-12-21,TXN-10408,1392.42,679,reversed
2025-01-23,TXN-10409,-243.01,1683,failed
2025-12-13,TXN-10410,798.38,2501,failed
2025-08-18,TXN-10411,-875.97,959,pending
2025-06-08,TXN-10412,2568.73,3421,pending
2025-07-08,TXN-10413,899.44,2779,reversed
2025-08-25,TXN-10414,1369.13,2060,reversed
2025-03-24,TXN-10415,-177.9,3346,pending
2025-11-06,TXN-10416,1591.49,2627,reversed
2025-07-10,TXN-10417,1663.65,2272,completed
2025-12-31,TXN-10418,2084.92,1168,completed
2025-03-24,TXN-10419,-86.55,1118,reversed
2025-09-20,TXN-10420,1715.9,910,reversed
2025-06-28,TXN-10421,1885.75,110,reversed
2025-01-28,TXN-10422,583.9,1582,completed
2025-07-11,TXN-10423,1668.94,920,completed
2025-06-13,TXN-10424,2587.22,2663,failed
2025-03-16,TXN-10425,555.99,564,completed
2025-05-27,TXN-10426,1985.61,3405,pending
2025-12-28,TXN-10427,751.22,1922,reversed
2025-11-12,TXN-10428,1524.86,1049,pending
2025-03-18,TXN-10429,1210.72,2248,reversed
2025-02-26,TXN-10430,1296.48,500,completed
2025-05-03,TXN-10431,618.62,1720,reversed
2025-02-02,TXN-10432,2531.9,2445,completed
2025-11-20,TXN-10433,2313.99,2111,pending
2025-03-15,TXN-10434,1188.52,1446,pending
2025-10-20,TXN-10435,1243.27,1707,pending
2025-12-07,TXN-10436,721.2,1478,completed
2025-09-27,TXN-10437,351.74,2229,completed
2025-07-19,TXN-10438,1367.0,1585,failed
2025-05-10,TXN-10439,1029.46,3062,completed
2025-07-02,TXN-10440,1376.32,3003,completed
2025-10-25,TXN-10441,485.77,3012,failed
2025-03-10,TXN-10442,2166.63,3333,pending
2025-12-17,TXN-10443,1476.46,1904,reversed
2025-11-20,TXN-10444,1377.74,2933,reversed
2025-01-19,TXN-10445,1592.2,1202,pending
2025-01-23,TXN-10446,1625.68,1293,failed
2025-09-21,TXN-10447,-411.22,1632,reversed
2025-05-10,TXN-10448,2323.91,1172,failed
2025-01-25,TXN-10449,1463.27,3547,failed
2025-05-20,TXN-10450,1743.72,3644,reversed
2025-08-14,TXN-10451,1740.14,1584,failed
2025-04-06,TXN-10452,261.7,3266,failed
2025-02-12,TXN-10453,1222.39,2979,reversed
2025-02-10,TXN-10454,-1164.97,740,failed
2025-06-14,TXN-10455,2301.87,421,completed
2025-06-17,TXN-10456,836.59,2469,reversed
2025-03-27,TXN-10457,619.99,2826,reversed
2025-06-29,TXN-10458,-18.31,1445,reversed
2025-05-21,TXN-10459,1620.29,2620,completed
2025-02-08,TXN-10460,811.84,2102,pending
2025-01-16,TXN-10461,481.32,585,reversed
2025-01-18,TXN-10462,1611.84,2643,failed
2025-07-05,TXN-10463,1618.26,1569,completed
2025-11-06,TXN-10464,1698.71,1520,failed
2025-08-16,TXN-10465,1918.56,3126,completed
2025-10-21,TXN-10466,1696.11,1288,failed
2025-05-08,TXN-10467,1782.32,465,completed
2025-04-06,TXN-10468,408.56,2301,completed
2025-05-15,TXN-10469,1204.75,3175,failed
2025-12-27,TXN-10470,-1330.08,1170,reversed
2025-04-13,TXN-10471,2088.09,503,pending
2025-02-07,TXN-10472,-434.74,1824,completed
2025-12-16,TXN-10473,1708.06,3464,failed
2025-12-08,TXN-10474,1031.54,2221,failed
2025-06-03,TXN-10475,1439.93,3488,pending
2025-12-31,TXN-10476,887.89,714,failed
2025-09-18,TXN-10477,-1.92,919,completed
2025-04-13,TXN-10478,1353.62,2024,completed
2025-07-04,TXN-10479,632.38,2270,failed
2025-08-28,TXN-10480,1535.22,2507,completed
2025-02-03,TXN-10481,243.75,1267,reversed
2025-09-03,TXN-10482,-152.06,3373,completed
2025-03-06,TXN-10483,979.79,1299,completed
2025-08-19,TXN-10484,256.53,526,pending
2025-03-08,TXN-10485,1405.71,1773,completed
2025-03-05,TXN-10486,523.15,664,failed
2025-12-30,TXN-10487,1122.68,924,failed
2025-09-23,TXN-10488,2422.15,1027,pending
2025-11-22,TXN-10489,251.09,2257,failed
2025-03-06,TXN-10490,419.12,383,pending
2025-10-31,TXN-10491,418.91,2379,pending
2025-03-29,TXN-10492,506.85,2479,failed
2025-10-16,TXN-10493,126.76,169,completed
2025-02-11,TXN-10494,2299.39,2363,failed
2025-11-30,TXN-10495,1522.86,864,reversed
2025-11-13,TXN-10496,596.72,2569,failed
2025-11-25,TXN-10497,480.09,1238,reversed
2025-05-06,TXN-10498,1609.65,1219,reversed
2025-02-07,TXN-10499,55.11,2821,completed
